gene_name,HH001_A1_SA_S1,HH001_B1_SA_S2,HH001_B3_SA_S3,HH003_A1_SA_S4,HH003_A3_SA_S5,HH003_B3_SA_S6,HH003_D_SA_S7,HH003_K_SA_S8,HH003_R_SA_S9
OSGIN2,306,271,1195,1460,347,105,331,47,24
FNIP1,1536.247,1339.118,3468.17,3949.989,1201.764,211.425,902.884,136.913,73.048
MSANTD2,89,61,155,201.088,67,57,74.001,32,5
AC113192.5,0,0,0,21,4,2,13,0,0
RNU6-189P,0,0,9,4,0,0,1.047,0,0
AC008750.2,13,3,7.554,54.017,6.729,3,16.679,1,0
MIR4724,0,0,0,2.466,0,2.927,0,0,0
RPL7P45,0,0,3.407,22.263,14,6,4.508,4,3
AC025287.4,0,4,69.924,45,23,5,17,3,1
CU104787.1,0,0,3.375,8,4,1,0,3,0
CLCN6,212.718,224.64,418.473,393.222,193.457,73.051,156.827,31.42,13.425
TMA16,89.542,93.392,221.399,311.004,99.751,53.682,129.299,12.705,10.389
IGHV3-16,0,3.35,0,5.828,4.133,0,0,2.093,0
SUN5,0,5,6,46,5,8,22,4,0
SPCS2,221.925,173.908,672.032,616.312,208.188,90.184,191.337,42.001,18
SNORD53,16,14,14,10,3,6,2,4,0
AC007787.1,0,0,2,12,4,0,3,1,0
CCDC43,69.001,38,91.683,175.785,52.999,33,62.473,8,3
LINC00904,0,12.099,18.114,40.67,12.124,0,12.888,7.519,0
UFSP1,10,2,6,15,5,8,3,0,0
AC092794.1,0,1,79,58,16,6,23,1,1
AC007614.4,0,1,1,23,13,10,16.152,8,0
POLR3GP1,0,0,1,3,2,2,4,4,0
RIIAD1,1,3,3,34.001,3,11,15,4,1
AC073488.2,1,1,0,19.582,12.541,0,1.684,0,2.779
MIR7705,0,0,0,0,0,1.711,0,0,0
PYCR3,63.355,81.064,198.36,274.821,90.51,40.809,80.126,27.131,8.666
AL390726.4,0,0,0,0,0,0,0,0,0
DPY19L2,23.091,43.505,112.67,190.161,60.458,63.497,72.663,30.169,9.53
RASSF1-AS1,23,18,36.439,31.015,21.209,0,8.515,3,0
AC090023.1,0,3,3,21,4,6,4,7,2
AC093788.1,6,4,47,128,36,11,49,3,4
MMS22L,503.955,507.624,1806.275,2806.636,868.419,603.243,998.844,210.344,91.768
EDA2R,9,10,13.022,52.533,20.283,12.177,15,2,0
STK32A,10.052,20.095,50.055,233.028,76.622,73.107,67.325,29.255,7.048
DNAJB8,1,7,21,77.347,29.905,13,36.567,5,2
EEF1A1P21,0,4,3,35,11,15,21,10,1
IGKV2D-38,0,0,0,0,0,1,0,0,1
FO393414.2,0,1,0,5,3,2,6,3,0
TUB-AS1,1,5,12,66,21,10,35,1,0
RNA5SP142,0,0,1,6,4,3,3,2,0
AC117525.1,0,4,5,26,5,8,2,0,1
AL390816.1,0,0,1,3.414,1,0,3,0,1
AP002478.2,1,0,2,20,5,4,7,4,0
VPS13B,1964.72,1239.246,3909.388,5988.327,1314.237,453.93,1643.307,228.282,125.637
SP5,1,2,2,16,9,10,11,1,0
AC117395.1,0,0,1,7.008,3,1,2,1,0
CYCSP33,0,3,2.172,7,2.084,7.172,3,5,0
WFDC6,0,2,6,26.583,6.648,6.721,7.944,1,0
LMO7DN,0,1,3.008,47.498,16,16,10,5,1
SQLE,39,36,106.001,196,42,49,64.001,6,2
TSPY16P,0,0,0,0,0,2.045,0,0,0
AC134349.1,6,0,8,10,1,1,7,0,4
LY6H,0,0,4,35,4,6,10,4,0
FTH1P27,0,0,0,1,1,1,1.263,1,0
PRYP5,0,0,0,0,0,1,2,0,0
AC099677.2,0,0,0,3,0,2,0,0,0
TCF7L1-IT1,0,0,5,20,1,4,7,0,0
POLR3GL,87.55,55.23,117.999,205.731,46.999,16,31.177,11,3
COLGALT1,608.478,437.255,470.64,747.125,350.236,55.702,197.393,39.024,9.787
CLCP2,0,0,2,12,4,4,8,0,0
TRBV7-1,0,1,2,8,5,1,5,0,0
ENSA,405.048,422.127,1149.156,1343.939,381.704,176.298,421.715,96.109,42.548
NDUFA10,452.687,420.068,1222.521,1143.763,461.426,122.795,392.682,52.004,39.953
RCC2P5,0,1,3,19,6,7,12,0,1
MTND6P20,0,1,3,17,3,11,4,2,0
AC090821.1,7,13,137.136,118.271,57.403,14.204,29.48,1,5
KRT18P47,1,0,1,14.08,1,1,5,0,1
AC007151.1,0,1,85,64,23,3,15,0,0
C7orf71,1,3,72,159,19,11,48,2,0
AC040896.1,1,1,4,16,3,3,8,0,0
MTCO3P40,0,3,1.213,22.165,5.734,2.927,5.734,0,2
CREM,62.703,66.136,196.704,340.79,101.168,56.427,86.281,29.142,12.083
TRIM49,0,10.424,6.801,37.612,4.968,12.409,19.763,11.072,5
ZMYND8,227.08,202.664,824.693,1161.926,283.844,91.445,327.061,57.407,26.544
AP005119.2,0,2.066,6.392,21.25,3.103,9.644,7.715,6.391,0
PRUNE1,267,274,740,585.999,201,34,103,31,19
AC008243.1,0,0,5,15,7,3,6,3,1
AMPD2,497,417.001,455.549,835.277,324.827,73.999,111.433,54.999,19.614
RNA5SP279,0,0,0,0,1.06,1,0,0,0
AP003306.2,4.494,3.406,54.248,52.998,26.542,6.314,30.593,1.293,0
AL030996.1,0,0,0,3,0,0,1,1,0
CCT4P1,0,1,1,48,12,13,18,4,0
CFL1P5,7.884,18,301.774,42.964,11.706,3,35,0,0
ZER1,205,162,785,729,309,57,187.001,49,39
FAM71C,0,2,9,36,8,13,11,2,1
OR5W2,0,0,1,26,6,9,7,4,1
PDLIM1P4,21.835,18.167,73.536,124.788,29.963,1.526,36.851,0,2
GLOD4,119.704,140.516,264.212,314.11,97.115,54.328,140.911,24.35,8.737
AC051619.2,2,4,1,7,0,0,2,0,0
MRPL16,42.001,38.001,736,785.78,141.503,9,171,2,10
AC007218.1,1.111,0,2.04,21.468,5.237,3.042,5.177,2.004,5.294
SIX3-AS1,0,7,7,35.173,11,16,16,14,1
C2orf27A,8.258,17.615,35.434,107.5,26.394,20.183,44.091,8.226,4.598
TPM3P8,0,0,2.003,11.051,1.022,19.601,8.016,5.283,4
AC092952.1,0,7,10,34.478,4,13,18.304,10,4
GRID2IP,0,5,15,59,12,12,17,7,0
RNU2-22P,0,0,6.141,9.437,3.318,15.422,9.32,2.429,2
LINC00395,0,3,3,32.769,8.056,7,11,5,1
AL360271.2,0,0,1,12.123,7.014,2.796,0,8.009,0
LINC02230,0,0,1,2,1,0,3,0,0
AC092634.2,0,4,6.147,31,9,10.194,13.534,2,2
AL359636.1,10.758,20.062,28.323,69.266,15.802,7.84,24.772,2.37,2.631
BX640514.2,3,4,21,19,3,3,8,0,0
AC012368.2,31,16,49,92,11,24,27,4,3
AC016526.3,35.408,86.707,263.353,515.866,176.684,191.933,177.491,97.954,29.01
ZNF33CP,0,4,2.033,34,6,13,10,2,1
RNU7-18P,0,1,4,4.481,1.18,0,3.497,0,0
JADE3,17,5,24,55,26,18,27,6,2
