gene_name,HH001_A1_SA_S1,HH001_B1_SA_S2,HH001_B3_SA_S3,HH003_A1_SA_S4,HH003_A3_SA_S5,HH003_B3_SA_S6,HH003_D_SA_S7,HH003_K_SA_S8,HH003_R_SA_S9
C4orf32,10012.047,10464.955,8818.402,20792.744,5366.907,5209.677,7670.57,3521.136,1437.403
AP002414.1,0,0,3,13,2,2,4,3,0
B4GALT6,41,24,92.919,178,64,44.001,73.936,17,14
RNA5SP54,0,0,0,3,0,0,0,0,0
ST6GALNAC1,4,11.005,41.518,112.073,37.21,13,23.032,9.056,0
AC233280.19,0,0,0,0,0,0,0,0,0
AF274858.1,0,0,1,2,1,0,1,2,0
ALKBH5,312,327,762.904,399.258,195.717,42,132.705,41,19
RNU6-1057P,0,1,0,2,3,0,2,0,0
CFL1P4,1,0,3,12,6,3,4,0,1
LINC02425,0,0,1,18,4,4,3,1,0
ARHGAP4,345.947,418.793,381.258,585.193,202.327,68,192.998,33.302,20
RPL13AP5,3.461,3.625,0,39.117,0,0,12.799,3.033,0
MTND5P15,1,4,10,17,10,2,8,2,0
MTND6P24,1.002,2,5,41.164,10.244,8.204,16.243,7,0
LINC00433,2,4,6,30,7,20,16,5,4
AC139887.2,70.284,77.026,312.636,176.588,100.788,34.635,70.685,15.689,6.586
SHD,0,0,6,48,15,7,29,4,3
ADH6,1,3,19,158,49,53,54.001,9,7
BX322234.2,2,0,3,15,11,12,4,2,1
AC010359.1,4,8,14,26,8,0,9,0,0
AC064862.7,0,0,3,43.996,5.741,12,14.374,5,3
SMC4,248.668,227.646,717.553,947.299,267.938,136.964,305.234,81.632,50.417
AC016885.3,0,0,0,1,0,2,0,0,0
AC090707.1,0,0,2,4,1,1,3,0,0
AC112178.1,38.854,42.82,47.082,87.181,21.685,17.731,39.937,11.819,0
AC007690.1,1,0,2,10.275,0,1,2,0,0
LINC01163,1,4,17,68,15,30,26,13,0
MIR375,0,0,0,0,0,0,1,0,0
AC069439.1,0,0,0,0,0,0,0,0,0
XKR8,131.188,113.44,182.603,150.258,89.086,25,64.844,13,5
LINC01667,2,20.774,42.201,260.186,79.38,89.774,144.406,37,7
TRBV27,2,3,7,10,4,1,5,0,0
AP005019.2,0,0,1,7,1,0,3,0,0
AC023394.2,1,0,2,22,4,14,4,1,0
PPIAP27,0,1,0,2,0,2,2,0,0
SYK,1035.694,779.884,1922.216,4004.898,958.649,150.137,887.043,89.13,19.346
PUM1,557.797,372.505,1310.582,1450.521,497.021,98.954,484.5,53.475,31
AC103739.2,0,4,14,24,11,5,7,0,0
FAM90A26,0,0,12.59,0,0,1.283,0,0,0
KIF7,1,4,6.077,58.057,18,16,14.153,2,6
WDR5B,213.842,171.21,343.259,435.706,114.414,53.629,134.539,27.819,14.453
ATRNL1,9.663,18.237,44.299,294.298,92.662,91.568,133.476,52.297,6
MIR3936,1,0,3,4,0,0,3,1,0
AL583810.2,1,14,18.125,76.906,21.026,24.177,16.188,5,2
MTCO2P4,0,0,0,13,6,7,7,0,1
AP005233.1,2.066,12.346,17.887,54.436,14.481,5.08,22.716,1.038,2.122
C16orf59,2,2,3,19,7,3,13.999,4,1
SNORA24,3875.217,1657.148,1224.812,215.765,341.683,1138.671,48.765,220.877,44.965
LINC01516,7.698,6.027,34.029,132.094,36.125,20.094,48.702,8.037,3.104
SEC62,745.345,417.693,4837.325,2876.715,700.378,220.299,660.39,172.476,148.071
TADA2B,346.825,296.336,630.383,538.064,237.713,84.08,189.194,60.527,32.02
Z97652.1,0,1,16.378,13.23,4.91,0,11.54,1,0
AC002558.3,21.049,23,56.279,54.727,32,28,22.751,9,0
TMBIM7P,6.059,10.408,9,79.156,26.61,25.522,16.298,3,4.01
NUCB2,305.028,302.623,796.647,1003.896,370.364,174.594,409.596,76.91,23.275
PIGFP3,1,0,0,5,5,9,3,0,0
AL033519.1,0,1,77,91,66,0,15,0,0
AC016888.1,4,0,4.273,4.381,0,2,0,0,0
AC011511.1,24.307,43.806,170.881,228.637,61.28,48.507,74.014,23.988,3.922
AC004801.5,2.634,4.562,8.948,34.554,9.914,9,20,0,1
AL161911.2,0,4,4,20,3,2,4,5,1
AC010761.5,0,0,2.441,6.524,1.75,0,0,0,1
OR2G2,0,2,5,12,5,7,8,0,1
RNU6-640P,7,18,10,9,3,1,1,3,0
AC091304.4,0,5.686,2.385,22.057,1.869,0,1.376,0,0
FAM187B2P,0,2,0,16,2,0,2,0,0
IL4I1,0,1,3.457,33.143,11.357,5,16.867,4,0
RUFY3,132.485,99.662,378.755,654.787,174.008,67.971,217.809,29.074,12.029
AC138696.2,0,0,1,5,2,0,2,0,0
UBE2CP1,0,0,27,40,8,0,12,0,0
RERG-AS1,0,1,0,9,0,1,1,1,0
HELQ,94,95,235.999,303,83,46,105,15,12
AC106733.1,7.308,5.144,7.222,19.268,3.184,12.077,15.878,3.331,1.046
CELA3A,2,1,4.316,26.191,3.606,4,10.897,2,1
NANOGP8,0,0,1.068,13.702,0,0,0,0,0
AC092598.1,4.122,0,6.187,30.038,10.904,11,8.077,1.044,1.071
PRICKLE1,73.644,92.274,209.635,334.891,112.079,56.891,140.863,27.291,12.34
PIM1,683,845,4061,1769,522,141,381.999,165,121
FLVCR2,145.677,73.497,163.151,659.761,195.021,28,95.175,24,7
ATG4C,128,96,216,255,94,53,83,30,13
AC084757.1,0,1,3,23.832,3.286,8,9.414,4,1
AC010653.1,8,5,9,25,10,6,5,6,0
DPYD,1273.295,522.228,1947.261,4848.455,928.371,199.541,959.861,106.648,62.527
MIR5094,0,1,0,3,1,2,0,0,0
AC007610.4,93.762,113.379,328.822,400.43,180.482,70.845,133.107,38.83,11.768
AC017067.1,0,0,1,19,5,6,4,0,1
TMEM254-AS1,8.038,6.168,28.842,85.785,27.995,19.869,33.617,3.234,4.035
BNIP2,1439.641,834.559,2347.298,4379.516,960.335,183.12,966.918,146.195,65.337
RN7SL451P,18.881,13.991,29.221,15.447,10.795,2.05,6.658,6.386,1
GOLGA6L7P,14.991,34.996,165.718,413.286,143.763,109.267,147.932,55.622,18.098
AC005304.2,241.654,423.714,1605.06,3460.662,1076.365,1222.617,1156.548,469.946,174.976
RN7SKP57,0,0,0,5,3,3,2,0,0
AL160400.1,40.139,39.138,212.379,103.528,43,12,40.14,10,6
AC011472.1,11.767,15.992,77.827,155.853,46.979,5.516,67.002,12.147,0
ALPL,1222,671,658,2036.001,705.001,104.999,396.999,81,7
AL683813.1,148.248,143.775,436.008,533.031,177.978,96.606,163.612,47.227,22.093
ABCE1,130.358,120.968,274.669,427.905,120.194,106.356,188.348,42.424,18.444
CLIC4,546,353.985,1077.829,1669.975,348.646,81.445,270.467,81,37
AC100757.4,0,0,2.82,71.407,17.161,38.747,36.053,25.777,9.967
AC010127.1,28.182,39.099,131.156,456.278,111.096,105.403,162.681,40.237,15.739
WNT3A,0,0,8,22,4,4,6,3,1
MIR4507,1,0,0,1,1,0,0,0,0
SUSD6,2009,2176,4654.999,3874,1784,147,682,174,63.001
MLLT6,817.337,805.833,945.924,1692.342,496.462,177.304,500.356,109.735,45.871
C5orf66-AS2,0,4,9.147,25.133,8,23,13.689,5,0
AL513365.1,9,7,46.133,50.336,17.069,4,13.124,3,0
HSPBAP1,743.86,640.176,1895.29,1576.787,565.952,114.885,464.716,50.253,20.432
MSI1,19.135,19,62.255,119.261,50.375,9,42,6,0
AL080251.1,0,1.36,8.12,33.027,14.197,5.828,32.271,0,2.757
LINC02245,20.745,57.494,197.749,352.878,111.869,104.587,159.634,30.974,22.394
AL358613.1,0,0,3,21,4,1,3,0,0
HLA-C,5332.232,3614.238,5599.238,6562.672,2273.033,527.905,869.874,358.11,98.174
AC113554.1,0,2,2.023,16.275,2.005,3.028,8.043,0,0
MIR3913-1,0,0,0,4,2,0,0,0,0
HES7,7,6,15,63,15,27,20,9,5
PTGDS,15.352,25.042,51.629,79.829,17.559,29.413,15.049,9.943,11.182
RNU4ATAC14P,0,0,0,2,0,0,0,0,0
AC097641.2,1,1,1,6,0,4,1,1,0
MEX3D,2,6,5,41,16,10,16,7,2
TOMM40,112.908,138.58,378.189,366.206,137.187,56.709,134.079,32.292,17.477
AC233702.4,0,0,1,4,1,1,3,0,0
BEAN1,59.802,64.165,334.819,404.236,168.713,28.442,120.945,21.035,8
RNU6-232P,0,0,0,1,1,0,0,0,0
LINC00311,34.351,57.296,244.888,246.416,92.096,64.438,103.055,31.914,3.192
AC009237.2,0,0,0,14,6,2,3,5,2
RPS3AP36,0,2,0,7.009,2,3.03,10.106,4,0
AL359682.1,0,5,2,65,18,28,33,8,3
SNORA3,1,0,3,8,2,5,1,2,2
PRSS30P,1,5,6,21,7,5,9,5,2
OR5BN1P,0,0,2,28,7,6,22.748,3,0
ARHGAP44,30.799,54.559,160.307,331.197,108.127,83.699,145.387,27.901,11.452
ZNF649,57.458,45.581,135.487,415.128,95.069,111.332,150.291,46.288,16
MAGEB16,0,0,2,14,0,10,8,1,4
AC125494.2,40,46.498,159.316,368.322,98.137,76.045,121.018,34.374,13
WDR18,14,7,11,32.999,12,14,14,8,0
SYT2,9.384,20.534,286.323,270.03,116.461,60.236,186.885,34.962,18.009
AL136520.1,2.018,5,5,41.116,8,15,5,4,3
RBP1,23.405,34.611,100.856,199.788,59.338,27.49,65.078,15.23,2.016
Z82188.2,1,0,1.014,5.902,0,3,0,0,1
AC125603.4,39.261,57.975,338.384,399.314,135.734,69.661,148.22,31.216,7.022
AL355075.2,10.352,3.048,118.437,64.969,40.212,0,15.667,1.008,0
AC087763.1,0,0,5.45,9,4,3,3,1,0
TMEM161BP1,0,3.139,5.129,29.03,12.209,15.214,18,2,0
AC007342.8,21,21,189,45,25,4,26,2,2
AC022796.1,0,0,3,25,4,8,18,3,1
AC002487.1,0,6,1,35,7,15,17,7,3
AC025750.1,0,0,1,6,0,1,1,2,0
AC131097.1,6.509,15.922,133.371,314.153,85.728,84.807,102.086,32.642,10.601
PLD4,8,23,19.511,96.799,33,23,44.635,18,4
MIR564,0,0,0,0,0,0,0,0,0
PRELID3BP8,0,2,1,7,1,1,4,1,0
RNU6-178P,0,0,0,4,0,1,0,1,0
AARSD1,43.405,105.099,174.886,228.506,82.407,59.486,79.518,43.464,12.581
SLC9A6,228.169,177.402,459.312,537.211,182.368,64.419,147.166,34.514,4
SEC13,127,114.999,592.001,485.999,179.001,40,184,15.001,6
SMG1P1,1906.57,1334.013,3737.383,2148.363,1076.16,89.194,993.661,168.235,108.008
KRTAP4-16,15.823,54.133,167.793,199.446,71.324,124.811,46.155,30.943,19.127
IGBP1P3,0,2,1,32,3,5,5,1,0
AC005726.2,180.222,268.683,658.506,1264.667,405.856,453.769,451.254,141.285,38.258
RNU2-4P,165.684,85.449,87.548,9.407,22.372,50.806,5.359,11.917,1.962
EI24,135.589,171.696,479.486,476.627,207.431,81.435,156.206,59.356,16.071
AC015712.7,0,1,1,10,6,1,2,2,1
ZNF540,59.73,83.873,139.446,205.529,79.416,34.983,75.976,21.461,5.147
AC080075.1,1,0,7,6,9,2,3,0,0
AC068898.1,0,0,1,4,1,0,3,0,0
AC097263.1,0,0,0,3.793,1.068,0,0,0,0
BTF3L4P4,0,2,0,18,3,6,6,0,2
PLSCR5,1,4,7,60.468,27.19,25,19,4,8
FAM78A,226.126,241.012,396.155,556.822,197.744,35.018,191.51,26.283,20.158
LAMC1,80,52,83,218,72.999,59,84,26,13
AC010333.1,0,8.386,48.881,55.922,13.713,2.098,18.836,3.09,2
AL137849.1,0,0,0,4,2,2,5,0,0
SPRR2D,0,1,2.559,28.782,6.913,8.813,9.25,1.199,2
XKRY,0,11,19,52.312,20,14.998,25,10,2
FTSJ1,56,68,101,86,29.999,11,42,7,6
SLC31A1,207.586,195.349,661.885,1208.833,381.63,136.1,331.986,81.561,35.846
ACTRT3,0,5,19.705,26.599,10,24,10,7,3
TSPAN11,1,9,15,72,28,19,34,6,9
AP003721.3,0,0,1,6,1,1,3,1,0
RN7SL201P,1.087,8.324,24.477,39.927,6.126,3,8.91,3,0
AARD,36.728,45.558,191.836,251.037,78.234,56.062,85.04,29.186,9.35
AL589642.2,19,76.498,633.309,1494.561,434.922,372.357,547.734,147.624,46.425
AL845331.3,1.008,4.469,9.333,86.805,25.464,20.032,27.927,5.393,1
CCNJP1,0,1,2,22.808,6,3.584,3,4,0
CLPSL1,0,1,4,18,7,9,11,8,1
DMRTB1,0,1,4,26,7,15,15,4,1
AL589880.1,0,1,56.032,58.531,28.544,12,20.762,6,3
OR52H1,3,3,15,49,11,2,5,3,0
AC103808.4,0,1,1,12,2,0,6,2,1
NOXRED1,27.205,32.009,51.388,167.634,41.041,14.175,45.981,15.858,4.238
RNU6-325P,0,1,0,5,1,1,2,1,0
ANO5,12,27,32,248,63,88,85,19,10
AC004080.2,0,0,1,9.031,1.181,0,4,2,0
AC090286.2,0,0,4,16,4,2,10,0,0
AIM2,223,90.234,212.231,1105.281,168.055,47.069,84.49,15,2
LINC02373,1,6,9,53,12,13,18,8,3
AC019209.3,7.189,7.235,26.678,62.925,19.432,5.388,34.316,3.066,2
MIR4673,0,3,2,2,0,0,6,1,0
AL591721.1,0,0,2,23,0,10,7,0,0
OR6W1P,2,5,14,23,2,3,6,2,0
HSPA8P8,0,2.01,0,10.452,2.413,16.206,3.104,1.009,0
SIRPD,114.896,99.774,442.016,486.576,111.987,23.022,119.498,2.364,2
GAGE12B,0,0,2.683,13.836,4.597,0,7.103,4.61,0
PPP1CB,2511.04,1761.917,13654.892,9279.104,2680.013,257.15,1644.116,430.352,306.358
DEFB116,0,0,2,26,7,2,5,4,2
LINC00506,12542.751,16255.225,15405.938,30831.266,9902.485,8869.71,12728.446,5099.419,2063.2
AC090897.3,0,0,5,39,5,11,17,3,0
RNU6-776P,0,0.5,1,0,0.5,0,0,0,0
TRAFD1,460.029,414.008,1069.059,1922.811,383.643,56.388,233.743,46.999,26.217
AC068790.8,0,0,0,0,0,0,0,0,0
CSPG4P10,2.107,9.211,22.804,104.222,33.703,12.035,54.031,5.809,2.192
SHOC2,1183.406,801.446,2619.043,3243.502,685.143,153.464,686.251,125.674,66
HIST1H2BN,88.42,109.362,473.754,578.628,220.971,89.591,196.179,36.228,18.023
OAS3,116.445,66.158,234.771,4478.223,266.608,69.777,165.799,44.002,9.322
RN7SL81P,5.085,13.457,21,17.72,8.427,5.561,13.188,1,0
RNU6-613P,0,0,23,17,12,0,3,0,0
ZNF550,60.08,87.314,137.47,225.061,95.743,43.961,105.458,30.696,7.87
AC009120.4,0,1,17,36,17,3,18,2,0
RNA5SP208,0,0,0,1,0,1,0,0,0
ADGB,28.144,28.096,447.86,615.025,195.897,105.151,206.296,47.362,14.093
ZDHHC4P1,0,0,14.078,290,13,0,20,2,0
AC018645.3,6,18.523,58.388,340.188,131.891,49.723,140.633,13,9.519
AC092017.2,0,0,0,10.717,1.185,0,6.086,0,0
USP12,292,224,3898.729,3693.772,684.643,285.94,706.362,252.928,223
RAB3GAP2,321.553,245.441,708.64,1563.511,358.204,339.288,455.872,133.384,39.734
PRUNEP1,0,0,2,6,4,2,1,2,0
LYPD8,24.138,31.709,96.269,103.352,24.109,14.149,35.013,8.125,7
AL133467.1,2,6,13,36,7,8,11,0,0
GZMH,26.737,4,60.838,39.314,2.052,3.399,25.984,3,1
AC005993.1,0,5.361,2.191,19.617,2.325,2.351,6.655,3,0
AC092143.4,0,6.438,0,2.721,1.054,0,1.573,1,1
AL355994.5,0,0,0,5,0,0,1,0,0
LINC01987,0,0,5,33,7,7,13,3,0
AC019193.2,0,2,5,52,13,37,19,12,4
TXNP4,0,0,1.045,12.393,4.17,0,8,2,0
AL512422.2,0,0,0,35,8,5,8,4,1
TEX22,21.254,7,12,43.864,8,10,24,3,0
TRAV35,3,3,11,18,3,10,8,2,4
FCER2,27,23.999,23,58,18,8,24,12,2
AC068295.1,0,0,0,7,0,0,2,0,2
SPSB1,8,8,16,60.999,17,22,23,9,1
AC091607.1,0,1.034,1.004,21.437,7,7,8.311,0,0
PNPO,152.417,237.531,412.035,404.389,146.047,40.121,141.642,35.247,4.511
AL353637.1,1,4,5,15,6,14.368,6,1,0
AC084855.1,0,1,2.379,0,0,1,0,0,0
OR4A43P,0,3,5,24,5,4,6.506,3,0
AC098848.1,0,0,42.178,86.815,12.918,2,11.881,0,3
AC111186.1,0,0,4,0,0,2,1,0,0
AL772161.1,2,1,0,0,0,3,0,2,1
DPH5,63.324,72.087,185.554,356.87,92.312,55.476,111.158,25.152,2
ARFRP1,201.066,222,317.773,318.554,141.293,43,117.371,29,10
MIR548AX,0,0,1,6,0,0,2,2,0
AC110772.1,0,0,2,12,2,1,2,0,0
GRHL1,24.044,48.92,239.159,369.338,147.286,94.608,142.823,45.996,9.676
RPL5P30,1.006,1.003,39.852,57,21.192,15.147,22.378,3.068,0
MIR1291,2.054,2.04,0,0,1.063,0,0,0,0
RNU6-830P,0,0,0,1,1,1,0,0,1
AC107982.1,0,0,0,0,0,0,0,0,0
LINC00459,0,1,0,10,2,2,2,1,1
AC103702.2,1.004,3.003,11.028,38.093,15.38,8.018,10,3,0
AC015849.4,16.868,45.619,80.554,82.413,25.989,32.069,29.805,13.006,1.903
LINC00345,0,0,0,5.186,1,1,2.965,0,0
OR7G1,0,1,1,16,8,2,7,3,1
AC114982.2,2,2,15,29,8,2,11,0,1
RPL6P21,0,1,3,33,7,8,21,2,0
MIR526B,0,0,1,0,1,1,0,0,0
AL133375.1,0,1,0,0,0,0,7.447,1,0
ZNF847P,0,5,3,28,6,14,12,5,2
LINC01073,4,1,15,11,6,1,5,2,0
LNCPRESS2,0,0,1,24,5,7,11,2,1
GPC6,1,6,23,156.341,37,35,32.894,17,5
AC104435.1,0,3,0,6,1,0,0,1,0
AL513174.1,0,4,2,19.702,4,8,9,2,2
AC004590.1,0,2,0,5.191,0,1,1.448,2,2
MIR4453,0,0.917,0,0,0,0,0,0.97,0
AP001269.2,0,2,3,10,1,1,3,0,0
AC007742.1,1,5,4,19,5,5,6,5,1
ZNF232,14,18,41.701,84.999,24,17,42,13,1
PPP1R11P2,0,0,3,12,3,2,6,0,0
MIR586,1,0,0,5,1,0,1,0,0
AC243967.2,10,8,74,36,7,3,14,0,0
AC136424.1,0,4,12,17,0,1,7,0,0
AC112198.4,0,0,0,7,2,3,3,0,0
NEXMIF,6.007,33.062,81.708,331.148,73.353,98.545,110.808,36.478,10.151
FH,23.999,20,50,81.516,24,17,36.625,4,4
AL162872.1,36,17,53,117,37,3,19,2,2
RIPOR1,175.001,169.001,169.349,331.374,132.342,38.999,95,22,9
TMEM106C,14,36,80.001,104,30.999,29,42,6,6
RPL12P42,0,0,10.303,21.566,4.045,3.037,4.108,2,0
UNC5C,1,10,28,280,71,115,127.999,31,7
TRERNA1,0,1,0,18,4,1,3,1,3
PFKFB1,0,1,8,21,6,9,6,1,1
AC026523.2,99.125,217.688,502.445,1243.557,446.437,589.543,495.64,204.811,55.005
C8orf4,0,5,1,55,23,13,11,9,3
MIR5695,0,3,0,7,5,5,3,0,0
HIST1H2BD,134.315,149.227,1458.658,860.921,255.884,18.946,190.494,22,16
AC074257.1,0,2,5,20,2,5,1,0,0
AL357563.1,0,0,3,3,0,1,1,1,0
VN1R90P,1,1,2,19,6,6,11,2,1
LINC01909,16.26,25.992,41.451,82.521,28.732,8.256,29.741,9.922,5.211
AC017099.1,9,11,46,91,31,40,41,6,3
TNIP2,85,80,98,114,52,15,34,8,0
AL671511.1,4043.899,4928.078,8720.681,20462.965,5497.732,5712.128,7190.812,2637.797,1017.068
AMH,3,4,2,10.038,5,5,2,0,3
KIF12,4,2,9,35.001,20,7,20,5,1
LDHAP7,1,2,4,24.047,5,9,10,6,1
AC025171.1,41.607,73.695,180.686,328.744,114.088,47.062,81.305,16.681,8.355
SPINK9,16.793,127.993,542.102,846.874,320.338,337.406,340.565,111.694,27.701
AC079329.1,0,1,0,0,0,3,0,1,0
PSCA,2,3,1,33.133,12,4,16,2,0
ZNRF1,35.302,47.229,114.374,203.441,92.553,32.025,90.213,17.357,7
UFL1,164,117,294,423,137,71,179,33,11
MIR6755,0,0,0,0,0,0,0,0,0
UTP15,116.661,94.95,247.182,377.736,103.317,79.854,168.217,33.484,16.354
SNX18P23,0,4.309,6.581,31.135,7.153,6.414,21.207,4.908,2
TRBV8-2,0,0,0,4,0,0,0,0,3
SDR42E1P5,19,7,7,39,11,1,6,1,0
AC245166.1,0,1,3,12.243,1,0,8.754,3,1
RPL23AP97,0,0,0,12.488,2.587,1,1.109,1.123,0
AP003716.2,0,0,1,3,0,2.764,1.681,0,0
GPC5-AS2,0,0,7,8,2,4,1,0,0
FBXL21,0,6,5.003,97.038,32.234,34,34.266,15,2
ATPAF1,117.328,97.77,213.864,381.325,106.859,52.504,107.518,33.414,16.219
AC068672.1,1,0,0,11,2,2,4,3,0
NUP205,170.362,122.542,378.867,576.876,160.633,103,200,38,17
GUCY2GP,0,1,11,78,16,20.999,25.999,12,4
TRPV1,119.111,214.537,208.341,205.172,100.233,24.784,93.241,34.851,9.832
AL139039.1,0,0,1,8.502,1,0,5,0,0
S1PR2,135.32,157.463,320.356,383.03,144.452,42.135,136.469,23.578,8.148
EEFSEC,38,27,55.348,55.423,37,9,23,11,4
AL355310.3,0,0,0,1.307,0,2,0,4,0
AC006457.1,0,0,2,3.502,1,0,4.965,0,0
DUX4L45,0,2,7.556,13.583,6.654,5.746,9.753,1,0
SCRT1,0,0,8,42,13,7,14,2,1
PAPOLB,4,5,7,119,28,44,40,17,9
MIR1908,0,0,0,0,0,0,0,0,0
AC015878.2,49.971,50.896,216.343,220.367,91.085,24.576,61.626,16.304,7.601
NMTRQ-TTG12-1,0,0,3,4,2,7,0,9,0
AC011483.4,0,5,12,39,24,27,22,10,5
IGSF10,5,27,67.847,252.039,106.856,102.999,69.351,23,8.574
RNU6-32P,624.23,327.702,229.829,102.689,477.387,581.092,36.15,58.111,3.788
CICP12,3,1,5.011,1.251,0,0,2.013,2,1.018
SNORA37,1447.576,815.956,527.618,133.95,194.789,487.881,21,110,28.891
RPL23AP94,2,0,0,2.574,0,0,2.524,0,0
RN7SL204P,41.384,68.97,158.231,193.304,53.804,19.533,59.279,9.84,8.418
BRCC3P1,1.024,4,3.205,22.313,10.28,7,6.223,7,0
MIR548AG2,0,0,0,0,0,1,2,0,0
AP005329.1,22,15,91.754,116.942,28.304,21,38.479,6,1
AC105313.1,0,0,5,18,1,2,5,3,0
KMT5C,23.083,30.468,93.286,156.735,57.223,45.361,61.171,23.125,10.609
AC064853.1,0,2,0,0,0,3,0,1,0
AL390726.3,2,9,10.515,34.974,7.807,27.356,14.273,18.82,0
RNU6-965P,0,0,0,8,3,5,4,0,0
AL158209.1,5.331,11.267,31.574,52.643,24.953,13.38,20.894,2.284,1.765
RN7SL77P,0,0,0,0,0,0,0.913,2,0
MIR519A1,0,0,1,2,2,0,1,0,0
AC092628.2,0,2,0,10,1,0,5,0,0
AL135923.2,0,0,0,15,1,5,2,0,0
RPL5P21,0,2,2,20,2,19,6,6,0
RN7SL14P,2.187,2.732,20.574,21.966,7,1,7.896,6.49,0
RN7SL38P,413.201,299.609,607.31,307.094,357.997,135.014,68.048,67.244,30.596
TNFRSF1B,1622.448,1232.885,1946.874,3404.778,1208.071,203.16,662.178,186.012,44.368
AL645634.2,0,0,4.335,7.302,7.752,0,6,2,0
KIF25-AS1,41.154,33.456,90.245,57.67,38.805,22.043,29.787,6.092,4
TCTEX1D2,45.469,74.997,124.446,118.809,73.555,15.939,29.989,11.626,4.178
AL132801.1,17.799,11.498,67.889,81.081,22.336,11.402,25.731,0,0
MIR4278,0,0,0,2,0,0,0,0,0
CAB39P1,0,0,1,6,1,11,0,0,1
HIRIP3,8,21,36.385,96.195,35.089,55,46.205,17,3
AC243965.1,0,1,5,13,2,1,3,1,1
NFKB1,399.001,274,634.001,1271.999,317.001,75.999,296.999,40,13
GAPDHP23,1,0,3,7,5,2,4,0,0
RN7SL868P,1.015,3.077,1.133,20.245,5.104,11.419,5.06,0,0
PLPPR3,0,3,8,11.049,5,6,7,6,1
UBTFL8,0,6,8,39,6,6,29,3,0
AC139530.1,13.851,16.444,63.071,66.401,42.252,8.076,29.817,1.044,0
MIR5699,0,1,0,1,0,0,1,0,0
AP000911.4,0,3,1,9,4,5,3,2,0
AC016956.1,0,6,2,48,11,24,22,4,4
SRGAP3-AS4,4,0,3,17,7,4,6,1,0
TEX19,0,1,4,28,6,5,15,9,0
AC009542.2,2.033,2.002,11.486,62.903,5.031,13.034,27.379,5.005,0
RCL1,204.822,174.359,1021.639,584.421,326.551,62.158,180.79,61.689,28.196
AC091810.1,0,0,0,2,1,1,0,0,0
MTND4P14,36,16,81,182.487,40.416,13.569,72,10,1
AC009320.1,0,1,1,14,5,6,4,1,3
C1orf131,132.711,168.332,321.897,451.586,158.292,59.971,143.967,30.412,11
RGS7BP,1,3,15,104,32,19,32,12,2
KLHL12,209,126.892,500.989,654.983,158.21,53.864,115.144,23,13.353
AC009643.1,0,0,0,9.286,2.771,6.248,0,0,0
MEMO1P4,0,0,0,2,2,1,0,0,0
OR1P1,0,0,3,12,8,5,6,0,0
AP002498.1,29,28,88.575,118,50,35,50,16,7
AC078938.1,0,2,0,2,0,1,0,1,0
AP003419.3,27,10,19,17,6,0,6,3,1
AC008915.1,44.235,35.377,186.16,264.124,81.445,74.262,96.666,42.802,3.782
AC006499.7,0,0,3,18,8,8,9,1,1
PEBP1P1,0,1,0,6,3,1,2,0,1
AC009597.2,0,1,3,27,6,14,5,2,0
AC068831.5,0,0,1,1,1,3,2,0,0
SCAND2P,614.845,704.807,1242.05,1081.73,483.045,147.358,345.019,81.933,55.354
HEBP2,496.405,327.716,1079.963,1520.927,349.497,181.824,581.643,62.555,17.024
NDUFS6,85,60,112,119,47,26.999,17,9,4
AP000902.1,0,1,248,68,64,1,17,1,0
SDHDP6,44.427,27.171,47.666,3.36,3.648,2.085,0,0,0
AC087672.1,7,6,20,100,18,7,6,3,1
AC004696.2,0,1,0,16,6,5,4,0,0
USP17L20,12.487,6.738,74.635,0,0,12.385,8.122,25.15,0
AC013640.1,0,1,4,14,6,9,7,0,0
RN7SL617P,95.262,66.14,211.217,106.885,134.278,18.244,24.151,29.163,5
AC092673.1,0,1,0,12,8,1,13,6,0
RASAL2,49.451,74.821,138.935,565.171,156.216,182.019,220.442,54.109,20.373
OVCA2,7.765,1.857,1.263,3.145,0,0,3.493,0,0
LMTK3,3,3,17,83,22,12,20,6,2
HSPA4L,98.759,194.149,560.936,1069.764,357.693,237.055,419.9,98.461,38.188
AC098591.1,129.345,77.558,170.924,141.39,67.204,70.128,37.208,22.215,5.589
CYCSP19,0,0,0,6,4,3,0,0,0
SLC2A13,95.167,87.984,208.799,473.298,138.878,119.782,142.358,36.748,17.173
C2CD4C,0,4,0,18,11,4,10,5,0
BIN2P1,0,2.069,11.646,44.561,11.777,12.134,26.152,4,1
LRRC8E,40.023,60.252,103.079,137.215,54.996,28.361,38.695,10.1,9.022
KIF22,80,53,231.923,163,106.001,30,75,18.999,10
CCDC22,24,16,41.999,44.512,19,6,19.722,9,3
MAP3K14,77.604,182.186,408.23,333.017,158.069,57.919,126.222,42.337,18.143
RNA5SP48,6.005,3.007,16.032,5.013,8.013,2.007,4,3,0
FUNDC2P2,0,0,3.028,24.452,5.034,7.918,3.022,0,0
EIF4G1,390.187,363.838,510.665,698.203,281.929,92.79,332.081,80.706,25.291
AC007663.3,3,5,5,21,4,5,3,4,0
TSTD2,48.001,50,112.371,258.394,54.605,57,89.499,21.001,20.668
AC114491.1,0,0,1.184,10.603,4,3.782,4.411,0,0
MTATP6P19,0,2,3,3,2,8,13,1,0
AC106800.3,0,1,0,5,1,0,1,0,0
